external_match_no,stage,group_code,home_code,away_code,home_placeholder,away_placeholder,kickoff_at_utc,venue_code
45,group,L,ENG,GHA,,,2026-06-23T20:00:00Z,BOS
46,group,L,PAN,CRO,,,2026-06-23T23:00:00Z,TOR
47,group,K,POR,UZB,,,2026-06-23T17:00:00Z,HOU
48,group,K,COL,COD,,,2026-06-24T02:00:00Z,GDL
# === MATCHDAY 3 (June 24-28, 2026) ===
49,group,C,SCO,BRA,,,2026-06-24T22:00:00Z,MIA
50,group,C,MAR,HAI,,,2026-06-24T22:00:00Z,ATL
51,group,B,SUI,CAN,,,2026-06-24T19:00:00Z,VAN
52,group,B,BIH,QAT,,,2026-06-24T19:00:00Z,SEA
53,group,A,CZE,MEX,,,2026-06-25T01:00:00Z,MEX
54,group,A,RSA,KOR,,,2026-06-25T01:00:00Z,MTY
55,group,E,CUW,CIV,,,2026-06-25T20:00:00Z,PHI
56,group,E,ECU,GER,,,2026-06-25T20:00:00Z,NYC
57,group,F,JPN,SWE,,,2026-06-25T23:00:00Z,DAL
58,group,F,TUN,NED,,,2026-06-25T23:00:00Z,KAN
59,group,D,TUR,USA,,,2026-06-26T02:00:00Z,LAX
60,group,D,PAR,AUS,,,2026-06-26T02:00:00Z,SFO
61,group,I,NOR,FRA,,,2026-06-26T19:00:00Z,BOS
62,group,I,SEN,IRQ,,,2026-06-26T19:00:00Z,TOR
63,group,G,EGY,IRN,,,2026-06-27T03:00:00Z,SEA
64,group,G,NZL,BEL,,,2026-06-27T03:00:00Z,VAN
65,group,H,CPV,KSA,,,2026-06-27T00:00:00Z,HOU
66,group,H,URU,ESP,,,2026-06-27T00:00:00Z,GDL
67,group,L,PAN,ENG,,,2026-06-27T21:00:00Z,NYC
68,group,L,CRO,GHA,,,2026-06-27T21:00:00Z,PHI
69,group,J,ALG,AUT,,,2026-06-28T02:00:00Z,KAN
70,group,J,JOR,ARG,,,2026-06-28T02:00:00Z,DAL
71,group,K,COL,POR,,,2026-06-27T23:30:00Z,MIA
72,group,K,COD,UZB,,,2026-06-27T23:30:00Z,ATL
# === ROUND OF 32 (matches 73-88) — June 28 - July 4, 2026 ===
73,round_of_32,,,,RUNNER_UP_GROUP_A,RUNNER_UP_GROUP_B,2026-06-28T19:00:00Z,LAX
74,round_of_32,,,,WINNER_GROUP_E,THIRD_PLACE_1,2026-06-29T20:30:00Z,BOS
75,round_of_32,,,,WINNER_GROUP_F,RUNNER_UP_GROUP_C,2026-06-30T01:00:00Z,MTY
76,round_of_32,,,,WINNER_GROUP_C,RUNNER_UP_GROUP_F,2026-06-29T17:00:00Z,HOU
77,round_of_32,,,,WINNER_GROUP_I,THIRD_PLACE_2,2026-06-30T21:00:00Z,NYC
78,round_of_32,,,,RUNNER_UP_GROUP_E,RUNNER_UP_GROUP_I,2026-06-30T17:00:00Z,DAL
79,round_of_32,,,,WINNER_GROUP_A,THIRD_PLACE_3,2026-07-01T01:00:00Z,MEX
80,round_of_32,,,,WINNER_GROUP_L,THIRD_PLACE_4,2026-07-01T16:00:00Z,ATL
81,round_of_32,,,,WINNER_GROUP_D,THIRD_PLACE_6,2026-07-02T00:00:00Z,SFO
82,round_of_32,,,,WINNER_GROUP_G,THIRD_PLACE_5,2026-07-01T20:00:00Z,SEA
83,round_of_32,,,,RUNNER_UP_GROUP_K,RUNNER_UP_GROUP_L,2026-07-02T23:00:00Z,TOR
84,round_of_32,,,,WINNER_GROUP_H,RUNNER_UP_GROUP_J,2026-07-02T19:00:00Z,LAX
85,round_of_32,,,,WINNER_GROUP_B,THIRD_PLACE_7,2026-07-03T03:00:00Z,VAN
86,round_of_32,,,,WINNER_GROUP_J,RUNNER_UP_GROUP_H,2026-07-03T22:00:00Z,MIA
87,round_of_32,,,,WINNER_GROUP_K,THIRD_PLACE_8,2026-07-04T01:30:00Z,KAN
88,round_of_32,,,,RUNNER_UP_GROUP_D,RUNNER_UP_GROUP_G,2026-07-03T18:00:00Z,DAL
# === ROUND OF 16 (matches 89-96) — July 4-7, 2026 ===
89,round_of_16,,,,R32_M2_W,R32_M5_W,2026-07-04T21:00:00Z,PHI
90,round_of_16,,,,R32_M1_W,R32_M3_W,2026-07-04T17:00:00Z,HOU
91,round_of_16,,,,R32_M4_W,R32_M6_W,2026-07-05T20:00:00Z,NYC
92,round_of_16,,,,R32_M7_W,R32_M8_W,2026-07-06T00:00:00Z,MEX
93,round_of_16,,,,R32_M11_W,R32_M12_W,2026-07-06T19:00:00Z,DAL
94,round_of_16,,,,R32_M9_W,R32_M10_W,2026-07-07T00:00:00Z,SEA
95,round_of_16,,,,R32_M14_W,R32_M16_W,2026-07-07T16:00:00Z,ATL
96,round_of_16,,,,R32_M13_W,R32_M15_W,2026-07-07T20:00:00Z,VAN
# === QUARTERFINALS (matches 97-100) — July 9-12, 2026 ===
97,quarter_final,,,,R16_M1_W,R16_M2_W,2026-07-09T20:00:00Z,BOS
98,quarter_final,,,,R16_M5_W,R16_M6_W,2026-07-10T19:00:00Z,LAX
99,quarter_final,,,,R16_M3_W,R16_M4_W,2026-07-11T21:00:00Z,MIA
100,quarter_final,,,,R16_M7_W,R16_M8_W,2026-07-12T01:00:00Z,KAN
# === SEMIFINALS (matches 101-102) — July 14-15, 2026 ===
101,semi_final,,,,QF_M1_W,QF_M2_W,2026-07-14T19:00:00Z,DAL
102,semi_final,,,,QF_M3_W,QF_M4_W,2026-07-15T19:00:00Z,ATL
# === THIRD-PLACE PLAY-OFF (match 103) — July 18, 2026 ===
103,third_place,,,,SF_M1_L,SF_M2_L,2026-07-18T21:00:00Z,MIA
# === FINAL (match 104) — July 19, 2026 at MetLife Stadium ===
104,final,,,,SF_M1_W,SF_M2_W,2026-07-19T19:00:00Z,NYC
